"","date","log_gdp_pc_s","gov_gdp_s","gov_con_gdp_s","pub_inv_gdp_s","priv_inv_gdp_s","tr_op_s","growth_gdp"
"15",2009-07-01,8.58192191640269,0.275601692484535,0.196493923782282,0.0790474429702272,0.181280333983084,1.17716357302944,0.00134648660733285
"16",2009-10-01,8.58102341555065,0.276314741785059,0.194493538419296,0.0798809834205332,0.193836922181276,1.24144522712662,-0.0002808716670872
"17",2010-01-01,8.58151648629419,0.28327761293207,0.213103718654174,0.0640556165413123,0.205977891752494,1.3400504486123,9.76549222306477e-05
"18",2010-04-01,8.58987706106256,0.259323405364645,0.188779332282978,0.0743391112994879,0.200742039137893,1.43818699239169,0.00119328669415882
"19",2010-07-01,8.61451897848967,0.262006421689279,0.192666070242917,0.0687298294532831,0.238699175298044,1.46212678477507,0.00279697856853775
"20",2010-10-01,8.62049012834818,0.293974631328065,0.208929132561598,0.0842585023624312,0.267852969644671,1.50817765124374,0.000551025869287663
"21",2011-01-01,8.6210344463821,0.293887129026329,0.197582395164999,0.0923333545234943,0.270959326782016,1.78744303911043,0.000158695773442248
"22",2011-04-01,8.65006872150859,0.306499730145325,0.229257462880748,0.0827685168574572,0.295636230543374,1.75416766752462,0.00352347806859449
"23",2011-07-01,8.67084137577579,0.312118841828465,0.227448128608609,0.0839545465325391,0.309957929254185,1.74312006993062,0.00228146525481246
"24",2011-10-01,8.65241101143684,0.286072379874935,0.208021283817838,0.0793290249855837,0.342414177433517,1.81822937430341,-0.00222134216618772
"25",2012-01-01,8.69439539092808,0.348065060286907,0.245660860935806,0.0929959884260322,0.361458842458679,1.90822238089338,0.00497241086245308
"26",2012-04-01,8.68066570632816,0.276132346370034,0.194095760225012,0.0867183403815946,0.379585574048133,1.95892083552276,-0.00148587199800764
"27",2012-07-01,8.694029676136,0.310522735032399,0.228351220523485,0.0809974492659868,0.379438487733873,1.93177913758307,0.00135134910168073
"28",2012-10-01,8.71930463673073,0.337862276642042,0.234232849864257,0.10506947482321,0.393639354202817,1.93643622596952,0.00292721320905033
