"","date","gdp","gov_con","pub_inv","priv_inv","x","m","pop","growth_pop","log_gdp_pc","gov_gdp","gov_con_gdp","pub_inv_gdp","priv_inv_gdp","tr_op","growth_gdp_pc","d_2008","d_2018"
"11",2008-07-01,32480689024.6776,5949100065.24028,2151112281.0434,8755868319.44588,14809743913.6703,27032429317.7558,5826409.37547468,0.00363539074097256,8.62600008480749,0.249385483790982,0.183158062340376,0.0662274214506061,0.269571507944105,1.2882169217419,0.000208787895543905,0,0
"12",2008-10-01,32573869758.0155,6820013049.90229,2821191897.34794,8360640164.09647,12432352308.9302,24870902079.5418,5847585.65363226,0.00363453317350369,8.6252368375085,0.295979722976507,0.209370673505075,0.0866090494714319,0.256667083960424,1.14518952355339,-8.84821807887182e-05,1,0
"13",2009-01-01,30146348277.2325,5875122291.23325,1920675083.30532,6511352749.93313,13802741918.5278,20148913063.1155,5868842.45145469,0.00363514090797929,8.54416165929327,0.258598398149145,0.19488669862115,0.0637116995279947,0.215991425895212,1.12622778286167,-0.00939976255059638,1,0
"14",2009-04-01,30308425366.9155,5427082872.49522,2406326789.7845,6209745765.61869,13766120010.1943,22016235974.0715,5890182.99125811,0.0036362434295931,8.54589395245307,0.258456504006659,0.179061855137463,0.0793946488691965,0.204885133108803,1.18060755552565,0.000202745831467288,1,0
"15",2009-07-01,31511014836.5824,5878734713.40754,2081948877.19417,5784391241.26029,15680388466.3896,21767323976.2291,5911597.60826652,0.00363564545281417,8.58117632326757,0.252631774377506,0.18656126259008,0.066070511787426,0.183567278656635,1.18840071120604,0.00412857578280312,0,0
"16",2009-10-01,32941909829.5098,7290073219.25977,3431624657.92681,5944180130.90627,14108558791.3608,25547372362.8042,5933063.22750698,0.00363110290362822,8.62196033694903,0.325472868230061,0.221300867405363,0.104172000824698,0.180444308228341,1.20381396705302,0.00475272994576148,0,0
"17",2010-01-01,31253185500.0737,6828898988.68188,1737017831.34291,6291616565.44393,18223356565.4394,23059783825.4654,5954645.1712632,0.00363757184588165,8.56570496995016,0.274081399478609,0.218502494367039,0.0555789051115705,0.201311209234307,1.32092584260915,-0.00652466084282377,0,0
"18",2010-04-01,31366909748.2089,5324057876.44998,2369398237.12653,6791341038.02666,19213284302.602,27714426847.1728,5976323.97114277,0.00364065351604834,8.56570312815284,0.245273001877905,0.169734854953443,0.0755381469244617,0.216512914167914,1.49608971768264,-2.15019933635929e-07,0,0
"19",2010-07-01,33021814397.5581,6037684301.17058,1864756139.50721,7957857568.24293,19072398439.5084,29534379961.3632,5998037.47140117,0.00363325354569848,8.61349133678334,0.239309698296353,0.182839265840494,0.0564704324558589,0.240987895832623,1.47195965114703,0.00557901761426094,0,0
"20",2010-10-01,34774341921.1342,8178522479.81566,3745345598.18597,8848696152.76778,19185768703.3137,31730224162.8168,6019707.97715872,0.00361293270688441,8.66159634333907,0.342892702471384,0.235188418471412,0.107704283999972,0.254460491958008,1.46418278688363,0.00558484413286653,0,0
"21",2011-01-01,33001515335.279,6754708990.24809,2753874605.82237,9249928659.82938,24601368902.8183,33678495794.3339,6041760.86199,0.00366344761489538,8.60561325574408,0.288125666335863,0.204678752524653,0.0834469138112105,0.280287997864786,1.76597541370624,-0.00646336834180017,0,0
"22",2011-04-01,33792787219.8719,6964928593.18174,2831632917.08676,10050323557.0066,25042779438.3623,36540263795.1266,6063831.29477214,0.00365298019671508,8.62566083566709,0.289900961602469,0.206106958501665,0.0837940031008042,0.297410316929895,1.82237241434986,0.00232959340923533,0,0
"23",2011-07-01,35428585483.8203,7671087344.63714,2424752527.42105,11062522884.5271,24356850067.0834,37677783109.977,6085683.24263724,0.00360365366429905,8.66933526958056,0.284963109144416,0.216522540764163,0.068440568380253,0.312248505929743,1.75097685470369,0.00506331453850839,0,0
"24",2011-10-01,36431348061.032,8415184478.56553,3599225699.77821,11986673732.4352,24668209055.8113,38540134481.1736,6107175.74191531,0.00353164935162814,8.69372046250972,0.329782201806435,0.230987457957029,0.0987947438494059,0.329020867203552,1.73499875522296,0.00281280999879252,0,0
"25",2012-01-01,36051518132.8781,9322285550.16948,3124636270.70871,13031069545.0033,29606642273.1174,39471355328.5219,6130783.07400402,0.00386550724693926,8.67938176737022,0.345253749786667,0.258582329759583,0.0866714200270839,0.361456887806322,1.91609122664496,-0.00164931633140675,0,0
"26",2012-04-01,35349719442.4928,6133274636.6706,3100374152.14405,13810756385.4341,28944249619.4669,42945884697.2685,6152922.00928288,0.00361111052399387,8.65611864228643,0.261208545200367,0.173502781164876,0.0877057640354901,0.390689278535904,2.03368330641738,-0.00268027443743135,0,0
"27",2012-07-01,36762050740.8921,7987050934.46884,2421659740.29835,14033231905.358,29409698400.4116,40910190811.733,6173881,0.00340634753463495,8.69189371068881,0.28313737849203,0.217263476152718,0.0658739023393118,0.381731476414839,1.91283913152115,0.00413292260431986,0,0
"28",2012-10-01,39498116213.9801,10206843674.5581,5058120442.66361,15018950315.2448,29760055756.3821,44584539383.4532,6189844,0.00324363210094447,8.76109837452634,0.38647321898908,0.258413429624409,0.128059789364672,0.380244724428882,1.88223141420404,0.00796197769335616,0,0
"29",2013-01-01,37314324791.4477,8258147959.93404,4029708425.91706,14140736489.6043,29165099526.3461,39516871463.7085,6222037,0.00520093882818373,8.69903522947384,0.32930667925867,0.221313074967573,0.107993604291097,0.378962679041838,1.84063282329032,-0.00708394568801451,0,0
"30",2013-04-01,37902655554.0958,9050296147.95389,4376408222.77726,15611477896.4594,30339227767.3034,44379746599.8597,6238174,0.00259352363221232,8.71208894465408,0.35424178529043,0.238777363106842,0.115464422183589,0.411883485952013,1.97133876966805,0.00150059343776587,0,0
"31",2013-07-01,38983539408.5961,9014004571.71716,3663934920.26092,16260937147.1067,31872317779.5572,46906256225.3767,6254314,0.00258729557719928,8.73762330392818,0.325212632929439,0.23122591505197,0.0939867178774692,0.41712316002587,2.02081635480135,0.00293091122419731,0,0
"32",2013-10-01,40736301136.6544,11045814876.0743,4283826118.38066,14596537897.0886,31393582422.0876,47782125343.5477,6270530,0.00259277036618255,8.77901401314808,0.376314013956005,0.271154095189446,0.105159918766559,0.358317704106784,1.94361553593272,0.00473706725275047,0,0
