"","date","gdp","gov_con","pub_inv","priv_inv","x","m","pop","gdp_nom","growth_pop","log_gdp_pc","gov_gdp","gov_con_gdp","pub_inv_gdp","priv_inv_gdp","tr_op","growth_gdp_pc","d_2008","d_2018"
"22",2011-04-01,33792787219.8719,6964928593.18174,2831632917.08676,10050323557.0066,25042779438.3623,36540263795.1266,6063831.29477214,53615947580.8058,0.00365298019671508,8.62566083566709,0.182717306180291,0.129904047348687,0.0528132588316031,0.187450264529215,1.14859563268328,0.00232959340923533,0,0
"23",2011-07-01,35428585483.8203,7671087344.63714,2424752527.42105,11062522884.5271,24356850067.0834,37677783109.977,6085683.24263724,55971206003.8061,0.00360365366429905,8.66933526958056,0.18037560011431,0.137054172892317,0.0433214272219927,0.1976466771821,1.10833118680419,0.00506331453850839,0,0
"24",2011-10-01,36431348061.032,8415184478.56553,3599225699.77821,11986673732.4352,24668209055.8113,38540134481.1736,6107175.74191531,59716080079.4158,0.00353164935162814,8.69372046250972,0.201192210914814,0.14091990745833,0.0602723034564833,0.200727738935547,1.05848112355876,0.00281280999879252,0,0
"25",2012-01-01,36051518132.8781,9322285550.16948,3124636270.70871,13031069545.0033,29606642273.1174,39471355328.5219,6130783.07400402,60018153182.9616,0.00386550724693926,8.67938176737022,0.207385951762536,0.15532443195563,0.0520615198069065,0.217118802460964,1.15095173606991,-0.00164931633140675,0,0
"26",2012-04-01,35349719442.4928,6133274636.6706,3100374152.14405,13810756385.4341,28944249619.4669,42945884697.2685,6152922.00928288,58823460864.8439,0.00361111052399387,8.65611864228643,0.1569722123292,0.104265790324081,0.0527064220051187,0.234783132144613,1.22213370753404,-0.00268027443743135,0,0
"27",2012-07-01,36762050740.8921,7987050934.46884,2421659740.29835,14033231905.358,29409698400.4116,40910190811.733,6173881,61911265449.4659,0.00340634753463495,8.69189371068881,0.168123048353181,0.129008038787192,0.0391150095659891,0.226666856241412,1.13581734602957,0.00413292260431986,0,0
"28",2012-10-01,39498116213.9801,10206843674.5581,5058120442.66361,15018950315.2448,29760055756.3821,44584539383.4532,6189844,67240991467.8511,0.00324363210094447,8.76109837452634,0.227018724501111,0.151794960956786,0.075223763544325,0.223360036599484,1.10564394600547,0.00796197769335616,0,0
"29",2013-01-01,37314324791.4477,8258147959.93404,4029708425.91706,14140736489.6043,29165099526.3461,39516871463.7085,6222037,65473325256.0254,0.00520093882818373,8.69903522947384,0.18767729205445,0.126129960982454,0.0615473310719957,0.21597706293836,1.04900691573984,-0.00708394568801451,0,0
"30",2013-04-01,37902655554.0958,9050296147.95389,4376408222.77726,15611477896.4594,30339227767.3034,44379746599.8597,6238174,66888903715.754,0.00259352363221232,8.71208894465408,0.200731416197046,0.135303400791458,0.0654280154055882,0.233394136085722,1.11706083096657,0.00150059343776587,0,0
"31",2013-07-01,38983539408.5961,9014004571.71716,3663934920.26092,16260937147.1067,31872317779.5572,46906256225.3767,6254314,68626247533.2436,0.00258729557719928,8.73762330392818,0.184738929311801,0.131349227092019,0.053389702219782,0.236949239272184,1.14793649422216,0.00293091122419731,0,0
